Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  756686    1.8025829e+03   8.347395e+00   0.000000e+00   1095s
  759518    1.8025829e+03   1.064494e+01   0.000000e+00   1100s
  762350    1.8025829e+03   7.507461e+00   0.000000e+00   1105s
  765182    1.8025829e+03   8.081769e+00   0.000000e+00   1110s
  768191    1.8025829e+03   2.153640e+01   0.000000e+00   1115s
  771200    1.8025829e+03   7.114098e+00   0.000000e+00   1120s
  774032    1.8025829e+03   6.465353e+00   0.000000e+00   1125s
  777041    1.8025829e+03   5.789973e+00   0.000000e+00   1130s
  780050    1.8025829e+03   8.873528e+00   0.000000e+00   1135s
  782882    1.8025829e+03   6.862913e+00   0.000000e+00   1140s
  785891    1.8025829e+03   6.973252e+00   0.000000e+00   1145s
  788900    1.8025829e+03   7.456283e+00   0.000000e+00   1150s
  791909    1.8025829e+03   5.722379e+00   0.000000e+00   1155s
  794918    1.8025829e+03   6.474509e+00   0.000000e+00   1160s
  798104    1.8025829e+03   6.186270e+00   0.000000e+00   1165s
  801113    1.8025829e+03   6.717912e+00   0.000000e+00   1170s
  803945    1.8025829e+03   7.943915e+00   0.000000e+00   1175s
  806954    1.8025829e+03   5.488612e+00   0.000000e+00   1180s
  809786    1.8025829e+03   8.416299e+00   0.000000e+00   1185s
  812618    1.8025829e+03   9.836439e+00   0.000000e+00   1190s
  815450    1.8025829e+03   7.185131e+00   0.000000e+00   1195s
  818282    1.8025829e+03   6.161859e+00   0.000000e+00   1200s
  821114    1.8025829e+03   1.282013e+01   0.000000e+00   1205s
  824123    1.8025829e+03   1.186982e+01   0.000000e+00   1210s
  827132    1.8025829e+03   6.509622e+00   0.000000e+00   1215s
  829787    1.8025829e+03   8.285824e+00   0.000000e+00   1220s
  832265    1.8025829e+03   5.483511e+00   0.000000e+00   1225s
  835097    1.8025829e+03   6.940474e+00   0.000000e+00   1230s
  838460    1.8025829e+03   6.336340e+00   0.000000e+00   1235s
  842000    1.8025829e+03   5.680221e+00   0.000000e+00   1240s
  845363    1.8025829e+03   6.465165e+00   0.000000e+00   1245s
  848903    1.8025829e+03   6.381864e+00   0.000000e+00   1250s
  852443    1.8025829e+03   4.889772e+00   0.000000e+00   1255s
  855983    1.8025829e+03   6.316225e+00   0.000000e+00   1260s
  859523    1.8025829e+03   7.352621e+00   0.000000e+00   1265s
  862886    1.8025829e+03   7.221443e+00   0.000000e+00   1270s
  866426    1.8025829e+03   6.966165e+00   0.000000e+00   1275s
  869966    1.8025829e+03   7.110465e+00   0.000000e+00   1280s
  873329    1.8025829e+03   1.201793e+01   0.000000e+00   1285s
  876869    1.8025829e+03   1.525504e+01   0.000000e+00   1290s
  880409    1.8025829e+03   6.334779e+00   0.000000e+00   1295s
  883949    1.8025829e+03   5.829469e+00   0.000000e+00   1300s
  887312    1.8025829e+03   6.182631e+00   0.000000e+00   1305s
  890852    1.8025829e+03   1.028849e+01   0.000000e+00   1310s
